Name,GUID,Length,Width,Start_Point,Mid_Point,End_Point,Building_Storey
Basic Wall:STB 200:2777037,3qrzZYNmP1KvcWccARQyVs,0.5100000000000017,0.2,"[-0.9000000000000055, -0.35000000000006143, -3.825]","[-0.6450000000000047, -0.35000000000006143, -3.825]","[-0.3900000000000038, -0.35000000000006143, -3.825]",1. UG OK
Basic Wall:STB 400:2777385,3qrzZYNmP1KvcWccARQ$aI,6.545000000000039,0.3999999999999957,"[69.86, 19.054999999999932, -3.825]","[69.86, 22.32749999999995, -3.825]","[69.86, 25.599999999999973, -3.825]",1. UG OK
Basic Wall:STB 350:2778178,3qrzZYNmP1KvcWccARQ$nv,44.94000000000001,0.3500000000000014,"[69.66, 19.054999999999932, -3.825]","[47.18999999999999, 19.054999999999932, -3.825]","[24.719999999999985, 19.054999999999932, -3.825]",1. UG OK
Basic Wall:STB 200:2778353,3qrzZYNmP1KvcWccARQ$pA,0.17499999999999488,0.2000000000000065,"[69.96, 18.87999999999994, -3.825]","[69.96, 18.967499999999937, -3.825]","[69.96, 19.054999999999932, -3.825]",1. UG OK
Basic Wall:STB 240:2778606,3qrzZYNmP1KvcWccARQ$tL,2.2649999999999855,0.2399999999999975,"[67.33000000000004, 19.22999999999994, -3.825]","[67.33000000000004, 20.362499999999933, -3.825]","[67.33000000000004, 21.494999999999926, -3.825]",1. UG OK
Basic Wall:STB 240:2778676,3qrzZYNmP1KvcWccARQ$uF,2.2099999999999564,0.2399999999999974,"[67.45000000000005, 21.37499999999993, -3.825]","[68.55500000000002, 21.37499999999993, -3.825]","[69.66, 21.37499999999993, -3.825]",1. UG OK
Basic Wall:STB 200:2778854,3qrzZYNmP1KvcWccARQ$xT,0.510000000000014,0.19999999999999785,"[70.06, 25.70999999999997, -3.825]","[69.80499999999999, 25.70999999999997, -3.825]","[69.54999999999998, 25.70999999999997, -3.825]",1. UG OK
Basic Wall:STB 460:2779570,3gkGN3cIn3GfW4n5S$82L$,44.71500000000002,0.4599999999999996,"[69.66000000000001, 25.369999999999973, -3.825]","[47.3025, 25.369999999999973, -3.825]","[24.944999999999993, 25.369999999999973, -3.825]",1. UG OK
Basic Wall:STB 460:2779853,3gkGN3cIn3GfW4n5S$82O0,25.845000000000002,0.4599999999999994,"[24.945, 25.369999999999962, -3.825]","[12.022499999999999, 25.369999999999962, -3.825]","[-0.9000000000000021, 25.369999999999962, -3.825]",1. UG OK
Basic Wall:STB 460:2779973,3gkGN3cIn3GfW4n5S$82U8,6.259999999999885,0.4599999999999999,"[-0.6700000000000035, 25.140000000000047, -3.825]","[-0.6700000000000035, 22.010000000000105, -3.825]","[-0.6700000000000035, 18.880000000000162, -3.825]",1. UG OK
Basic Wall:STB 200:2780145,3gkGN3cIn3GfW4n5S$82Sy,0.5099999999999978,0.19999999999999785,"[-0.3900000000000078, 25.709999999999972, -3.825]","[-0.6450000000000067, 25.709999999999972, -3.825]","[-0.9000000000000056, 25.709999999999972, -3.825]",1. UG OK
Basic Wall:STB 200:2780375,3gkGN3cIn3GfW4n5S$820Q,1.0000000000000064,0.19999999999999785,"[19.019999999999996, 25.59999999999998, -3.825]","[19.019999999999996, 26.099999999999984, -3.825]","[19.019999999999996, 26.599999999999987, -3.825]",1. UG OK
Basic Wall:STB 200:2780403,3gkGN3cIn3GfW4n5S$820_,2.0000000000000044,0.19999999999999785,"[19.119999999999997, 26.49999999999999, -3.825]","[20.119999999999997, 26.49999999999999, -3.825]","[21.12, 26.49999999999999, -3.825]",1. UG OK
