WallName,WallGlobalId,Name,GUID,Length,Width,Start_Point,Mid_Point,End_Point,Building_Storey
Basic Wall:STB 380:2445232,3An7ef3H9ARQ_GxB$bOvUn,Basic Wall:STB 380:2445232,1fbci1MJPFc9hXazt$jZ$n,2.15799999999999,0.3800000000009683,"[33.48699999999997, -0.19000000000011302, 1.1999999999999882]","[34.56599999999997, -0.19000000000011302, 1.1999999999999882]","[35.64499999999996, -0.19000000000011302, 1.1999999999999882]",
Basic Wall:STB 380:2445232,3An7ef3H9ARQ_GxB$bOvUn,Basic Wall:STB 380:2445232,1fbci1MJPFc9hXazt$jZrm,2.1579999999999946,0.3800000000009683,"[22.54199999999999, -0.19000000000007766, 1.1999999999999882]","[23.620999999999988, -0.19000000000007766, 1.1999999999999882]","[24.699999999999985, -0.19000000000007766, 1.1999999999999882]",
Basic Wall:STB 380:2445232,3An7ef3H9ARQ_GxB$bOvUn,Basic Wall:STB 380:2445232,1fbci1MJPFc9hXazt$jZn7,2.1579999999999946,0.38000000000097156,"[40.77, -0.19000000000013656, 1.1999999999999882]","[41.849000000000004, -0.19000000000013656, 1.1999999999999882]","[42.928, -0.19000000000013656, 1.1999999999999882]",
Basic Wall:STB 380:2445232,3An7ef3H9ARQ_GxB$bOvUn,Basic Wall:STB 380:2445232,1fbci1MJPFc9hXazt$jZjT,2.1579999999999946,0.38000000000097156,"[44.41999999999999, -0.19000000000014833, 1.1999999999999882]","[45.49899999999998, -0.19000000000014833, 1.1999999999999882]","[46.57799999999998, -0.19000000000014833, 1.1999999999999882]",
Basic Wall:STB 380:2445232,3An7ef3H9ARQ_GxB$bOvUn,Basic Wall:STB 380:2445232,1fbci1MJPFc9hXazt$jZhb,2.1579999999999946,0.38000000000097156,"[48.05799999999999, -0.19000000000016012, 1.1999999999999882]","[49.136999999999986, -0.19000000000016012, 1.1999999999999882]","[50.21599999999999, -0.19000000000016012, 1.1999999999999882]",
Basic Wall:STB 380:2445232,3An7ef3H9ARQ_GxB$bOvUn,Basic Wall:STB 380:2445232,1fbci1MJPFc9hXazt$jZfD,2.1579999999999946,0.3800000000009683,"[51.702000000000005, -0.1900000000001719, 1.1999999999999882]","[52.781000000000006, -0.1900000000001719, 1.1999999999999882]","[53.86, -0.1900000000001719, 1.1999999999999882]",
Basic Wall:STB 380:2445232,3An7ef3H9ARQ_GxB$bOvUn,Basic Wall:STB 380:2445232,1fbci1MJPFc9hXazt$jZcx,2.1579999999999946,0.3800000000009683,"[55.32999999999999, -0.1900000000001836, 1.1999999999999882]","[56.40899999999999, -0.1900000000001836, 1.1999999999999882]","[57.487999999999985, -0.1900000000001836, 1.1999999999999882]",
Basic Wall:STB 380:2445232,3An7ef3H9ARQ_GxB$bOvUn,Basic Wall:STB 380:2445232,1fbci1MJPFc9hXazt$jZaz,2.1579999999999946,0.3800000000009683,"[62.62612012991831, -0.19000000000020723, 1.1999999999999882]","[63.70512012991831, -0.19000000000020723, 1.1999999999999882]","[64.7841201299183, -0.19000000000020723, 1.1999999999999882]",
Basic Wall:STB 380:2445232,3An7ef3H9ARQ_GxB$bOvUn,Basic Wall:STB 380:2445232,1fbci1MJPFc9hXazt$jZYL,2.157999999999977,0.3800000000009683,"[66.257, -0.19000000000021888, 1.1999999999999882]","[67.33599999999998, -0.19000000000021888, 1.1999999999999882]","[68.41499999999998, -0.19000000000021888, 1.1999999999999882]",
Basic Wall:STB 330:2447788,0zDfnzjsv8GO_YFRY7jWiF,Basic Wall:STB 330:2447788,161sjIjGf4OAikfLB6ZVTH,0.8902999999999969,3.048,"[65.80470000000003, 4.655999999999931, -0.18000000000000158]","[66.24985000000002, 4.655999999999931, -0.18000000000000158]","[66.69500000000002, 4.655999999999931, -0.18000000000000158]",
Basic Wall:STB 500:2450375,3I4JLWAvT5Gfm5cD7oqqYn,Basic Wall:STB 500:2450375,3Mhbu98Xb7Pf3vKBsmX7xm,3.048,2.089999999999999,"[68.32600000000002, 13.08749999999994, 0.0]","[69.85000000000002, 13.08749999999994, 0.0]","[71.37400000000002, 13.08749999999994, 0.0]",
Basic Wall:STB 500:2450375,3I4JLWAvT5Gfm5cD7oqqYn,Basic Wall:STB 500:2450375,2UBEqXG5X3ABy$siGhEteg,3.048,2.089999999999999,"[67.82600000000001, 10.177499999999943, 0.0]","[69.35000000000001, 10.177499999999943, 0.0]","[70.87400000000001, 10.177499999999943, 0.0]",
Basic Wall:STB 500:2450375,3I4JLWAvT5Gfm5cD7oqqYn,Basic Wall:STB 500:2450375,2UBEqXG5X3ABy$siGhEtgM,3.048,2.089999999999998,"[67.82600000000001, 7.267499999999946, -0.019999999999999785]","[69.35000000000001, 7.267499999999946, -0.019999999999999785]","[70.87400000000001, 7.267499999999946, -0.019999999999999785]",
Basic Wall:STB 500:2450375,3I4JLWAvT5Gfm5cD7oqqYn,Basic Wall:STB 500:2450375,2UBEqXG5X3ABy$siGhEtcj,3.048,2.089999999999999,"[67.82600000000001, 16.00999999999994, 0.0]","[69.35000000000001, 16.00999999999994, 0.0]","[70.87400000000001, 16.00999999999994, 0.0]",
Basic Wall:STB 365:2453773,1d9XQ9CRPDnAohLRlUPiBy,Basic Wall:STB 365:2453773,0kcH2xr7nCuxbHxTixEl0b,1.689999999999997,3.0480000000000045,"[64.99000000000001, 17.69099999999995, -0.18000000000000158]","[65.83500000000001, 17.69099999999995, -0.18000000000000158]","[66.68, 17.69099999999995, -0.18000000000000158]",
Basic Wall:STB 240:2455259,2Uyn6q91TFx8F8jizB55$M,Basic Wall:STB 240:2455259,3YHkrMYCrFswGOQX6mzNBz,3.048,1.2599999999999993,"[65.68600000000005, 19.483207512686782, -0.18000000000000158]","[67.21000000000005, 19.483207512686782, -0.18000000000000158]","[68.73400000000005, 19.483207512686782, -0.18000000000000158]",
Basic Wall:STB 380:2456734,2Uyn6q91TFx8F8jizB55MJ,Basic Wall:STB 380:2456734,2UBEqXG5X3ABy$siGhEt_w,2.157999999999977,0.3800000000009705,"[66.26100000000001, 25.169999999964638, 1.1999999999999948]","[67.34, 25.169999999964638, 1.1999999999999948]","[68.41899999999998, 25.169999999964638, 1.1999999999999948]",
Basic Wall:STB 380:2456734,2Uyn6q91TFx8F8jizB55MJ,Basic Wall:STB 380:2456734,1fbci1MJPFc9hXazt$kSu7,2.1579999999999946,0.3800000000009662,"[62.63000000000003, 25.169999999964645, 1.1999999999999948]","[63.70900000000003, 25.169999999964645, 1.1999999999999948]","[64.78800000000003, 25.169999999964645, 1.1999999999999948]",
Basic Wall:STB 380:2456734,2Uyn6q91TFx8F8jizB55MJ,Basic Wall:STB 380:2456734,1fbci1MJPFc9hXazt$kSqZ,2.1579999999999946,0.3800000000009662,"[58.98200000000003, 25.16999999996466, 1.1999999999999948]","[60.06100000000002, 25.16999999996466, 1.1999999999999948]","[61.14000000000002, 25.16999999996466, 1.1999999999999948]",
Basic Wall:STB 380:2456734,2Uyn6q91TFx8F8jizB55MJ,Basic Wall:STB 380:2456734,1fbci1MJPFc9hXazt$kSpT,2.1579999999999946,0.3800000000009705,"[55.33699999999999, 25.169999999964674, 1.1999999999999948]","[56.41599999999998, 25.169999999964674, 1.1999999999999948]","[57.49499999999998, 25.169999999964674, 1.1999999999999948]",
